DESCRIPTION,TYPE,SOURCE,Power,Rack Mount?,Rack Height / Form factor (u),SERIAL NUMBER,PART #,GFE ASSET ID #,AREA,RM,PROJECT,EXCESS,HDD Barcode Number,"CONDITION CODES",In FTI posession?,In DD1149 from Mantech?,Recommend return to Gov't,New location,Comments,Model,QTY,Location Found,Comments,Confirmed?
Dell PowerEdge 2950 (Hammer),Server - Blade,Mike Ihrig's garage,750W 110v/220V,Yes,2,5M29TB1,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,"FTI CHE server room, Rack #1",,,1,Dell rack,,
Dell PowerEdge 2950 (Nixie),Server - Blade,Mike Ihrig's garage,750W 110v/220V,Yes,2,90DM9F1,,,Suite 3310,"Server Rm, 1",MRAS,A,,4,No,Yes,,,Jerry Zumbro took to ABL,,1,Dell rack,,
Dell PowerEdge 2950 (Snipe),Server - Blade,Mike Ihrig's garage,750W 110v/220V,Yes,2,80DM9F1,,,Suite 3310,"Server Rm, 1",MRAS,A,,4,No,Yes,,,Jerry Zumbro took to ABL,,1,Dell rack,,
HP Proliant DL380 (USSMiner),Server - Blade,Mike Ihrig's garage,800W 110v,Yes,2,EAH1LDN42G,,,Suite 3310,"Server Rm, 1",MRAS,A,,4,Yes,,,"FTI CHE server room, Rack #1",,,,,,
HP Proliant DL380 (USSMountie),Server - Blade,Mike Ihrig's garage,800W 110v,Yes,2,EV00LDND32,,,Suite 3310,"Server Rm, 1",MRAS,A,,4,Yes,,,"FTI CHE server room, floor",,,,,,
Dell Optiplex,Desktop Computer,Mike Ihrig's garage,,N/A,,1NS3S91,,,Suite 3310,"Secure Rm,",MRAS,A,,4,Yes,,"Yes, was used in secure room",FTI CHE office,,,,,,
Dell Optiplex,Desktop Computer,Mike Ihrig's garage,,N/A,,GMS3S91,,,Suite 3310,"Secure Rm,",MRAS,A,,4,Yes,,"Yes, was used in secure room",FTI CHE office,,,,,,
Dell Precision 390,Desktop Computer,Mike Ihrig's garage,,N/A,,G68X3F1,,,Suite 3310,"Secure Rm,",MRAS,A,,4,No,,,,,,,,,
73GB 15K RMP Serial ATA,Hard Drive,Mike Ihrig's garage,,N/A,,PHH741D0J8,,,Suite 3310,"Server Rm, 1",MRAS,A,,4,No,,,,,,,,,
73GB 15K RMP Serial ATA,Hard Drive,Mike Ihrig's garage,,N/A,,PHH73aD0CT,,,Suite 3310,"Server Rm, 1",MRAS,A,,4,No,,,,,,,,,
73GB 15K RMP Serial ATA,Hard Drive,Mike Ihrig's garage,,N/A,,PHH708D2GL,,,Suite 3310,Server Rm. 1,MRAS,A,,4,No,,,,,,,,,
Rack Automatic (ATF) (Poweredge 2160AS),Switch,Mike Ihrig's garage,,"Yes, anywhere",0,,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,"FTI CHE server room, Rack #1",,,,,,
Rack Automatic (ATF) (Poweredge 2160AS),Switch,Mike Ihrig's garage,,"Yes, anywhere",0,,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,"FTI CHE server room, Rack #2",,,,,,
APC Smart-UPS RM 3000,UPS,Mike Ihrig's garage,"110v, 2700w",Yes,2,JS0733006415,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,"FTI CHE server room, floor",,,1,Dell Rack,,
APC Smart-UPS RM 3000,UPS,Mike Ihrig's garage,"110v, 2700w",Yes,2,JS0733006424,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,"FTI CHE server room, floor",,,,,,
APC Smart-UPS RT 1500,UPS,Mike Ihrig's garage,"230v, 980w",Yes,2,JS0916005507,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,"FTI CHE server room, floor",,,,,,
Backplate Kit,Misc. Hardware,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
Backplate Kit,Misc. Hardware,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
16-0utlet(PDU),Misc. Hardware,Mike Ihrig's garage,120v 30a,Yes,1,,,,Suite 3310,"Server Rm, 1",MRAS,A,,4,No,,,,,,2 boxes,Cabinet,,
16 Port Keyboard (KVM),Peripheral,Mike Ihrig's garage,,No,,CN-0G6325-12963-79F-3ZSW,,,Suite 3310,Server Rm. 1,MRAS,A,,4,Yes,,,"FTI CHE server room, floor",,,,,,
4210 Rack,Rack,Mike Ihrig's garage,,N/A,,J9XFHF1,,,Suite 3310,"Server Rm, 1",MRAS,A,,4,Yes,,,FTI CHE server room,,,,,,
120 vac Master Switch III. Model AP7902 (switched rack PDU),Switch,Mike Ihrig's garage,110v,"Yes, anywhere",0,ZA0725005700,AP7902,,Suite 3310,"Server Rm, 1",MRAS,A,,4,Yes,,,"FTI CHE server room, Rack #1",,,,Dell Rack,,
120 vac Master Switch III. Model AP7902 (switched rack PDU),Switch,Mike Ihrig's garage,,,,ZA0637036043,AP7902,,,,,,,,Yes,No,,"FTI CHE server room, Rack #2",,,,closet,,
"APC Redundant Switch, SU042-2 (30A 120V Rackmountable Automatic Transfer Switch)",Switch,Mike Ihrig's garage,30A 120V,Yes,1,5A0742T39182,SU042-2,,Suite 3310,"Server Rm, 1",MRAS,A,,4,Yes,,,FTI CHE office,Marked as bad,,,,,
"APC Redundant Switch, SU042-2 (30A 120V Rackmountable Automatic Transfer Switch)",Switch,Mike Ihrig's garage,30A 120V,Yes,1,,SU042-2,,,,,,,,Yes,No,,"FTI CHE server room, Rack #1",,,,,,
Power Edge R710 (Baron),Server - Blade,Mike Ihrig's garage,,N/A,,2C4BTK1,,,Suite 3310,"Server Rm, 1",SMLIS,A,,4,No,Yes,,,CDI took possession of this equipment,,,,,
Power Vault MD3000i,Array,Mike Ihrig's garage,,N/A,,4YHCTK1,,,Suite 3310,"Server Rm, 1",SMLIS,A,,4,No,Yes,,,CDI took possession of this equipment,,,,,
Western Digital External 1TB HD,Hard Drive,Mike Ihrig's garage,,N/A,,WCASJ00356e5,,,Suite 3310,Restricted Area,MRAS,A,,4,No,,,,,,,,,
Western Digital External 1TB HD,Hard Drive,Mike Ihrig's garage,,N/A,,WGAU49002046,WDH1U10000N,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
Seagate External 2TB HD,Hard Drive,Mike Ihrig's garage,,N/A,,2GEY9G18,9ZB2AR-572,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
"Buslink External DVD, Model DBW1647-U2",Peripheral,Mike Ihrig's garage,,No,,5Q3A7449,DBW1647-U2,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,,DBW1647-U2,,Cabinet,,
Dell External 3.5 FIoppy Drive,Peripheral,Mike Ihrig's garage,,No,,8102192,FD-05PUB,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,,,1,cabinet,,
"Linksys SD208, 8-Port 10/100 Switch",Switch,Mike Ihrig's garage,,No,,REG0064000408,,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,,,1,Cabinet,,
Western Digital 2500JS 250GB HD,Hard Drive,Mike Ihrig's garage,,N/A,,WCANY1413140,WD2500JS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
Western Digital 2500JS 250GB HD,Hard Drive,Mike Ihrig's garage,,N/A,,WCANY1396538,WD2500JS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
Western Digital 2500JS 250GB HD,Hard Drive,Mike Ihrig's garage,,N/A,,WCANY1396430,WD2500JS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,In a cradle,,,,,
Western Digital 2500JS 250GB HD,Hard Drive,Mike Ihrig's garage,,N/A,,WCANY1413381,WD2500JS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,In a cradle,,,,,
Western Digital 2500AAKS 250GB HD,Hard Drive,Mike Ihrig's garage,,N/A,,WMART1238130,WD2500AAKS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
Western Digital 2500AAKS 250GB HD (New),Hard Drive,Mike Ihrig's garage,,N/A,,WMART1140809,WD2500AAKS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,Brand new in bag,,1,Cabinet,Purchased by FTI,Yes
Western Digital 2500AAKS 250GB HD (New),Hard Drive,Mike Ihrig's garage,,N/A,,WMART0939767,WD2500AAKS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,Brand new in bag,,,,,
